Age_Ma,Logo,Epoch,Type,T_C,CO2_ppm,CH4_ppb,H2O_vap,CCN,T_sim_K,T_sim_C,dT_K,Source,Commentaire,
-750,🪸,Protérozoïque,stable,25,4000,1000,1.2,Moyen,,,,Krissansen2018,Avant Snowball — eucaryotes/multicellularité,
-730,🪸,Protérozoïque,stable,20,2500,800,1.0,Moyen,,,,Hoffman2017,Refroidissement progressif pré-Sturtien,
-720,☃,Sturtienne,hyst1a,-40,200,100,0.2,Bas,,,,Hoffman1998,Entrée Snowball — bascule albédo↓,
-710,⛄,Plein Snowball,plateau,-45,500,80,0.15,Bas,,,,Pierrehumbert2011,Mid-Sturtien froid stable,
-700,⛄,Plein Snowball,plateau,-42,1500,90,0.18,Bas,,,,Pierrehumbert2011,Accumulation CO2 volcanique sous glace,
-690,⛈,Sortie Marinoen,hyst1b,22,5000,1500,1.1,Moyen,,,,Hoffman2017,Déglaciation brutale — hyper-greenhouse (Map92a),
-680,⛈,Sortie Marinoen,hyst1b,18,3000,1200,1.0,Moyen,,,,Hoffman2017,Post-déglaciation — pluies acides,
-650,⛈,Sortie Marinoen,hyst1b,14,2000,800,0.9,Moyen,,,,Hoffman2017,Marinoen retombe — drawdown CO2,
-600,🪼,Paléozoïque marin,stable,10,1000,500,0.8,Moyen,,,,Knoll2006,Gaskiers / Édiacarien (Map90a),
-540,🪼,Paléozoïque marin,stable,22,4500,1000,1.2,Haut,,,,Royer2007,Explosion cambrienne — CCN bioactifs,
-500,🪼,Paléozoïque marin,stable,21,4000,900,1.15,Haut,,,,Royer2007,Cambrien sup./Ordovicien inf.,
-480,🪼,Paléozoïque marin,stable,20,3500,800,1.1,Moyen,,,,Royer2007,Ordovicien inférieur chaud,
-461,🪼,Paléozoïque marin,stable,16,2500,600,0.9,Moyen,,,,Royer2007,Début refroidissement (Map80a),
-460,🪼,Paléozoïque marin,stable,18,2800,700,1.0,Moyen,,,,Royer2007,Intermède doux,
-450,🪼,Paléozoïque marin,stable,10,1500,400,0.7,Bas,,,,Finnegan2011,Glaciation Hirnantienne — chute T+CO2,
-445,🪼,Paléozoïque marin,stable,8,1200,300,0.6,Bas,,,,Finnegan2011,Pic de froid Hirnantien,
-440,🪼,Paléozoïque marin,stable,14,2000,500,0.8,Moyen,,,,Finnegan2011,Fin glaciation — remontée T,
-420,🍄,Paléozoïque terrestre,stable,18,1800,700,1.0,Haut,,,,Royer2007,Silurien/Dévonien — premières plantes,
-400,🍄,Paléozoïque terrestre,stable,22,2000,800,1.1,Haut,,,,Royer2007,Dévonien greenhouse — Prototaxites/forêts,
-370,🍄,Paléozoïque terrestre,stable,20,1500,700,1.0,Haut,,,,Royer2007,Dévonien sup. — pas de glace,
-360,🍄,Paléozoïque terrestre,stable,16,1200,500,0.8,Moyen,,,,Royer2007,Crise biologique Frasnien-Famennien,
-350,🍄,Paléozoïque terrestre,stable,19,1400,600,1.0,Haut,,,,Royer2007,Stabilisation post-crise,
